filename,posneg,DeltaSigma,axisB,axisC,axisD,corrB,corrC,corrD
N_d100_170_170_70.csv,N,100,170,170,70,-0.8252092654873692,-0.815277390368503,-0.9496808728323572
N_d100_170_70_170.csv,N,100,170,70,170,-0.8204680533913234,-0.9500877088001165,-0.8225624082710109
N_d100_70_170_170.csv,N,100,70,170,170,-0.9450146278901115,-0.8272365155312645,-0.8263690873460433
N_d10_70_80_80.csv,N,10,70,80,80,-0.9497582810386209,-0.9389104933815371,-0.941194001385751
N_d10_80_70_80.csv,N,10,80,70,80,-0.9431309373551012,-0.945696729996288,-0.9361029809578645
N_d10_80_80_70.csv,N,10,80,80,70,-0.9365988618996751,-0.9324811535925194,-0.9442124850352467
N_d150_220_220_70.csv,N,150,220,220,70,-0.7462249985309146,-0.739122753894141,-0.9449335480434222
N_d150_220_70_220.csv,N,150,220,70,220,-0.7901950215039514,-0.9453101270887098,-0.7714644798256428
N_d150_70_220_220.csv,N,150,70,220,220,-0.9424179761665974,-0.7621552053688327,-0.7372704465709388
N_d200_270_270_70.csv,N,200,270,270,70,-0.6373013157761518,-0.6702455411812088,-0.941989228055288
N_d200_270_70_270.csv,N,200,270,70,270,-0.6767922590856588,-0.9459955628656773,-0.6511577442831373
N_d200_70_270_270.csv,N,200,70,270,270,-0.9419919226281172,-0.6403519129383153,-0.6488920139119139
N_d20_70_90_90.csv,N,20,70,90,90,-0.949749661506311,-0.9333216326234756,-0.937934136623455
N_d20_90_70_90.csv,N,20,90,70,90,-0.9291506210000476,-0.9388018360368995,-0.9270325475905966
N_d20_90_90_70.csv,N,20,90,90,70,-0.9333302784683092,-0.9313586551909234,-0.9425567709874926
N_d2_70_72_72.csv,N,2,70,72,72,-0.948820325078961,-0.9483909438362325,-0.9429584565287695
N_d2_72_70_72.csv,N,2,72,70,72,-0.9395950269228741,-0.9437281051503364,-0.9452802949573549
N_d2_72_72_70.csv,N,2,72,72,70,-0.944308210159017,-0.9478689634752987,-0.9518229176350215
N_d30_100_100_70.csv,N,30,100,100,70,-0.9205317418218808,-0.9280968263791871,-0.9496432174604652
N_d30_100_70_100.csv,N,30,100,70,100,-0.9296177149060996,-0.9481380717131614,-0.9143666976843187
N_d30_70_100_100.csv,N,30,70,100,100,-0.9555223589324109,-0.9243855020371359,-0.9203935846827603
N_d3_70_73_73.csv,N,3,70,73,73,-0.9389871693768849,-0.9437737148343291,-0.9511825131705881
N_d3_73_70_73.csv,N,3,73,70,73,-0.9352136475970921,-0.9432575322917409,-0.9502981122769356
N_d3_73_73_70.csv,N,3,73,73,70,-0.9407332375486372,-0.9395246896499329,-0.9406233792420814
N_d40_110_110_70.csv,N,40,110,110,70,-0.9116129634562308,-0.898538975389936,-0.9524734212540265
