stk_id,beg_date,end_date,mkt_board
8926,2000/5/8,2003/8/25,OTC
8926,2003/8/25,2999/12/31,TSE
8495,2016/8/8,2020/9/23,REG
4806,2014/12/8,2016/3/9,REG
4806,2016/3/9,2999/12/31,OTC
2474,1999/11/1,2001/9/19,OTC
2474,2001/9/19,2999/12/31,TSE
4169,2012/5/7,2999/12/31,REG
3664,2009/5/13,2010/6/24,REG
3664,2010/6/24,2999/12/31,OTC
3483,2005/9/30,2006/12/18,REG
3483,2006/12/18,2999/12/31,OTC
2384,1998/12/19,2015/7/7,TSE
3036,2000/9/26,2002/8/26,OTC
3036,2002/8/26,2999/12/31,TSE
6886,2023/4/27,2999/12/31,REG
3665,2011/4/21,2999/12/31,TSE
3041,1999/9/13,2002/8/26,OTC
3041,2002/8/26,2999/12/31,TSE
1269,2016/8/29,2999/12/31,REG
1259,2011/1/26,2011/12/15,REG
1259,2011/12/15,2999/12/31,OTC
6130,2002/1/2,2002/3/26,REG
6130,2002/3/26,2999/12/31,OTC
2311,1989/7/19,2018/4/30,TSE
3498,2006/2/16,2007/9/11,REG
3498,2007/9/11,2999/12/31,OTC
1580,2006/11/14,2007/12/10,REG
1580,2007/12/10,2999/12/31,OTC
4552,2016/7/20,2999/12/31,TSE
2343,1990/9/19,1995/9/23,OTC
2343,1995/9/23,2007/1/1,TSE
2349,1996/4/23,2999/12/31,TSE
2357,1996/11/14,2999/12/31,TSE
2376,1998/9/24,2999/12/31,TSE
6518,2015/5/13,2999/12/31,REG
2377,1998/10/31,2999/12/31,TSE
2397,2000/1/15,2999/12/31,TSE
6195,2002/5/17,2002/10/21,REG
6195,2002/10/21,2999/12/31,OTC
6569,2016/1/15,2016/12/21,REG
6569,2016/12/21,2999/12/31,OTC
2401,1997/9/8,2000/1/27,OTC
2401,2000/1/27,2999/12/31,TSE
2926,2012/3/27,2013/1/30,REG
2926,2013/1/30,2999/12/31,OTC
3184,2004/5/31,2005/5/17,REG
3184,2013/4/18,2999/12/31,REG
6626,2017/4/7,2999/12/31,REG
2475,2000/3/2,2001/9/19,OTC
2475,2001/9/19,2019/5/13,TSE
5013,2000/5/8,2999/12/31,OTC
2248,2018/9/11,2999/12/31,REG
8020,2003/1/2,2004/7/9,REG
8307,2010/11/26,2013/3/8,REG
3057,2002/6/18,2002/12/18,REG
3057,2002/12/18,2999/12/31,TSE
6691,2018/8/8,2022/1/3,REG
6691,2022/1/3,2999/12/31,TSE
4935,2011/7/28,2999/12/31,TSE
5272,2012/6/27,2013/5/30,REG
5272,2013/5/30,2999/12/31,OTC
3356,2004/6/23,2005/3/28,REG
3356,2005/3/28,2999/12/31,TSE
4523,1999/11/22,2999/12/31,OTC
3511,2007/11/21,2009/2/16,REG
3511,2009/2/16,2999/12/31,OTC
4581,2020/3/9,2999/12/31,TSE
3374,2004/9/8,2015/3/30,REG
3374,2015/3/30,2999/12/31,OTC
3402,2004/12/9,2007/1/9,REG
3402,2007/1/9,2999/12/31,OTC
6467,2014/8/14,2019/1/6,REG
3347,2004/9/13,2004/11/26,REG
3604,2010/10/29,2013/8/30,REG
4921,2010/1/27,2018/11/20,REG
6701,2003/1/8,2015/4/14,REG
4557,2015/10/12,2999/12/31,TSE
4992,2010/12/29,2012/8/9,REG
8426,2011/5/30,2011/12/13,REG
8426,2011/12/13,2999/12/31,OTC
8023,2003/1/6,2007/5/18,REG
R412,2002/9/9,2002/11/6,REG
4963,2010/12/8,2011/8/8,REG
3574,2008/9/26,2009/6/25,REG
4417,2000/11/7,2999/12/31,OTC
3109,2007/5/31,2007/11/17,REG
4941,2010/5/5,2016/5/13,REG
4975,2011/8/19,2014/7/1,REG
5221,2011/3/1,2013/10/30,REG
8009,2000/12/18,2004/8/3,OTC
8009,2004/8/3,2005/2/1,REG
3469,2005/12/29,2008/6/10,REG
6536,2015/6/18,2999/12/31,REG
3548,2007/1/9,2008/3/27,REG
3548,2008/3/27,2999/12/31,OTC
3552,2007/6/27,2009/1/7,REG
3552,2009/1/7,2999/12/31,OTC
6521,2015/3/18,2018/10/19,REG
3558,2007/5/31,2013/12/30,REG
3558,2013/12/30,2999/12/31,OTC
5243,2013/11/25,2999/12/31,TSE
4193,2015/4/20,2019/10/19,REG
3587,2008/1/21,2009/8/18,REG
3587,2009/8/18,2999/12/31,OTC
6027,2015/11/2,2999/12/31,REG
6491,2014/12/30,2019/10/7,REG
6491,2019/10/7,2999/12/31,TSE
3630,2008/7/21,2010/4/26,REG
3630,2010/4/26,2999/12/31,OTC
3637,2008/12/5,2016/7/29,REG
6516,2015/1/26,2019/5/6,REG
6516,2019/5/6,2999/12/31,OTC
8481,2016/3/4,2017/2/24,REG
8481,2017/2/24,2999/12/31,TSE
4157,2013/8/30,2014/1/17,REG
4157,2014/1/17,2999/12/31,OTC
1814,2003/10/7,2019/10/24,REG
6511,2016/1/27,2019/4/13,REG
4432,2011/9/6,2012/11/26,REG
4432,2012/11/26,2999/12/31,OTC
4589,2023/4/27,2999/12/31,REG
2761,2022/4/13,2999/12/31,REG
6868,2022/1/13,2999/12/31,REG
6798,2023/4/27,2999/12/31,REG
6944,2023/4/27,2999/12/31,REG
6912,2022/10/19,2999/12/31,PSB
8462,2014/8/29,2016/3/10,REG
8462,2016/3/10,2019/3/15,OTC
8462,2019/3/15,2999/12/31,TSE
1819,2015/6/24,2019/7/5,REG
5256,2012/6/6,2020/1/3,REG
4541,2013/6/25,2014/7/22,REG
4541,2014/7/22,2999/12/31,OTC
2599,2008/6/24,2999/12/31,REG
9917,1993/12/8,2999/12/31,TSE
2207,1997/2/25,2999/12/31,TSE
8479,2016/5/16,2019/10/8,REG
1575,2004/12/8,2007/5/18,REG
2228,2012/10/15,2013/11/25,REG
2228,2013/11/25,2999/12/31,TSE
8496,2016/2/26,2019/8/30,REG
2020,1993/4/27,2999/12/31,TSE
4159,2012/1/17,2019/8/13,REG
5489,2001/3/12,2999/12/31,OTC
4802,2014/7/3,2018/1/13,REG
5859,2015/4/16,2999/12/31,REG
3158,2018/3/16,2999/12/31,REG
3283,2004/9/7,2007/5/11,REG
1464,1997/1/18,2999/12/31,TSE
3387,2004/10/19,2005/3/18,REG
3422,2005/11/3,2015/1/14,REG
6403,2012/10/26,2999/12/31,REG
3610,2010/2/22,2016/3/30,REG
6272,2002/12/24,2999/12/31,REG
8375,2004/9/17,2005/3/8,REG
8437,2015/5/6,2999/12/31,OTC
8450,2013/9/30,2014/10/7,REG
8450,2014/10/7,2999/12/31,OTC
6125,2002/1/2,2002/1/23,REG
